#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
206,Moonrise,5/27/2015,Free,N/A (N/A),"14,288 ±3,548",15:25 (04:02)
210,Planetship,2/6/2015,$3.14,N/A (N/A),"2,074 ±1,352",01:23 (00:27)
211,Fancy Skulls,6/16/2014,$4.49,N/A (N/A),"18,436 ±4,031",02:09 (01:16)
212,Malevolence: The Sword of Ahkranox,5/9/2014,$19.99,N/A (N/A),"2,304 ±1,425",04:47 (06:05)
213,"Once Bitten, Twice Dead!",5/12/2015,$4.99,N/A (N/A),"4,379 ±1,964",04:10 (02:05)
214,Tango Fiesta,6/4/2014,$6.49,N/A (N/A),"7,144 ±2,509",00:50 (00:47)
216,Minimon,3/25/2015,$4.99,N/A (N/A),"8,296 ±2,704",06:16 (04:23)
218,DubWars,6/13/2014,$17.99,N/A (N/A),"2,304 ±1,425",01:19 (01:30)
219,Legends of Eisenwald,10/9/2013,$19.99,N/A (N/A),"33,646 ±5,445",09:06 (03:55)
220,Trine 3: The Artifacts of Power,4/21/2015,$16.99,N/A (N/A),"30,189 ±5,158",02:51 (01:30)
221,Urban Legends,1/30/2015,$15.99,N/A (N/A),"9,448 ±2,885",01:32 (02:38)
222,Children of Liberty,4/18/2014,$9.99,N/A (N/A),"1,383 ±1,103",00:00 (00:00)
223,Victory Command,5/19/2015,Free,N/A (N/A),"134,352 ±10,879",01:31 (00:16)
224,TRIP:Steam Edition,1/6/2015,$6.99,N/A (N/A),"3,687 ±1,802",00:00 (00:00)
225,Boid,1/8/2015,$4.19,N/A (N/A),"78,583 ±8,321",01:39 (00:51)
226,H-Hour: World's Elite,5/19/2015,$24.99,N/A (N/A),"3,457 ±1,745",09:43 (06:54)
